train_corpus;test_corpus;features;true_index;pred_index;count;norm_value
mysMEEI;mysMEEI;acoustic;0;0;28.05;0.7791666666666667
mysMEEI;mysMEEI;acoustic;0;1;7.95;0.22083333333333308
mysMEEI;mysMEEI;acoustic;1;0;7.0;0.125
mysMEEI;mysMEEI;acoustic;1;1;49.0;0.875
mysMEEI;mysMEEI;acoustic_balanced_weights;0;0;29.96;0.8322222222222222
mysMEEI;mysMEEI;acoustic_balanced_weights;0;1;6.04;0.16777777777777772
mysMEEI;mysMEEI;acoustic_balanced_weights;1;0;8.11;0.14482142857142855
mysMEEI;mysMEEI;acoustic_balanced_weights;1;1;47.89;0.8551785714285713
mysMEEI;mysMEEI;spectral_paper;0;0;29.62;0.8227777777777783
mysMEEI;mysMEEI;spectral_paper;0;1;6.38;0.17722222222222217
mysMEEI;mysMEEI;spectral_paper;1;0;4.85;0.08660714285714284
mysMEEI;mysMEEI;spectral_paper;1;1;51.15;0.9133928571428579
mysMEEI;mysMEEI;combined_paper;0;0;32.9;0.9138888888888879
mysMEEI;mysMEEI;combined_paper;0;1;3.1;0.08611111111111097
mysMEEI;mysMEEI;combined_paper;1;0;3.95;0.07053571428571423
mysMEEI;mysMEEI;combined_paper;1;1;52.05;0.9294642857142865
mysMEEI;mysMEEI;spectral_02;0;0;29.28;0.813333333333334
mysMEEI;mysMEEI;spectral_02;0;1;6.72;0.18666666666666662
mysMEEI;mysMEEI;spectral_02;1;0;5.91;0.10553571428571429
mysMEEI;mysMEEI;spectral_02;1;1;50.09;0.8944642857142857
mysMEEI;mysMEEI;combined_02;0;0;31.73;0.8813888888888887
mysMEEI;mysMEEI;combined_02;0;1;4.27;0.11861111111111108
mysMEEI;mysMEEI;combined_02;1;0;4.74;0.08464285714285712
mysMEEI;mysMEEI;combined_02;1;1;51.26;0.9153571428571441
mysMEEI;mysMEEI;sep_02_raw;0;0;31.45;0.873611111111111
mysMEEI;mysMEEI;sep_02_raw;0;1;4.55;0.12638888888888888
mysMEEI;mysMEEI;sep_02_raw;1;0;3.05;0.054464285714285715
mysMEEI;mysMEEI;sep_02_raw;1;1;52.95;0.9455357142857133
mysMEEI;mysMEEI;sep_02_a01;0;0;32.89;0.9136111111111106
mysMEEI;mysMEEI;sep_02_a01;0;1;3.11;0.08638888888888879
mysMEEI;mysMEEI;sep_02_a01;1;0;4.23;0.07553571428571428
mysMEEI;mysMEEI;sep_02_a01;1;1;51.77;0.924464285714287
mysMEEI;mysMEEI;sep_02_a02;0;0;32.3;0.8972222222222221
mysMEEI;mysMEEI;sep_02_a02;0;1;3.7;0.10277777777777775
mysMEEI;mysMEEI;sep_02_a02;1;0;4.12;0.07357142857142854
mysMEEI;mysMEEI;sep_02_a02;1;1;51.88;0.9264285714285727
mysMEEI;mysMEEI;spectral_03;0;0;31.43;0.8730555555555556
mysMEEI;mysMEEI;spectral_03;0;1;4.57;0.12694444444444447
mysMEEI;mysMEEI;spectral_03;1;0;5.76;0.10285714285714283
mysMEEI;mysMEEI;spectral_03;1;1;50.24;0.8971428571428574
mysMEEI;mysMEEI;combined_03;0;0;33.59;0.933055555555555
mysMEEI;mysMEEI;combined_03;0;1;2.41;0.06694444444444433
mysMEEI;mysMEEI;combined_03;1;0;3.57;0.06375000000000001
mysMEEI;mysMEEI;combined_03;1;1;52.43;0.9362499999999997
mysMEEI;mysMEEI;sep_03_raw;0;0;31.55;0.8763888888888891
mysMEEI;mysMEEI;sep_03_raw;0;1;4.45;0.12361111111111114
mysMEEI;mysMEEI;sep_03_raw;1;0;3.24;0.05785714285714285
mysMEEI;mysMEEI;sep_03_raw;1;1;52.76;0.9421428571428564
mysMEEI;mysMEEI;sep_03_a01;0;0;32.84;0.9122222222222218
mysMEEI;mysMEEI;sep_03_a01;0;1;3.16;0.08777777777777769
mysMEEI;mysMEEI;sep_03_a01;1;0;4.39;0.07839285714285714
mysMEEI;mysMEEI;sep_03_a01;1;1;51.61;0.921607142857144
mysMEEI;mysMEEI;sep_03_a02;0;0;33.43;0.9286111111111107
mysMEEI;mysMEEI;sep_03_a02;0;1;2.57;0.07138888888888877
mysMEEI;mysMEEI;sep_03_a02;1;0;4.19;0.07482142857142855
mysMEEI;mysMEEI;sep_03_a02;1;1;51.81;0.9251785714285724
mysMEEI;mysMEEI;spectral_04;0;0;31.29;0.8691666666666665
mysMEEI;mysMEEI;spectral_04;0;1;4.71;0.13083333333333333
mysMEEI;mysMEEI;spectral_04;1;0;4.56;0.08142857142857145
mysMEEI;mysMEEI;spectral_04;1;1;51.44;0.9185714285714295
mysMEEI;mysMEEI;combined_04;0;0;33.02;0.9172222222222223
mysMEEI;mysMEEI;combined_04;0;1;2.98;0.08277777777777767
mysMEEI;mysMEEI;combined_04;1;0;4.54;0.0810714285714286
mysMEEI;mysMEEI;combined_04;1;1;51.46;0.9189285714285728
mysMEEI;mysMEEI;sep_04_raw;0;0;30.89;0.8580555555555561
mysMEEI;mysMEEI;sep_04_raw;0;1;5.11;0.14194444444444448
mysMEEI;mysMEEI;sep_04_raw;1;0;3.54;0.06321428571428574
mysMEEI;mysMEEI;sep_04_raw;1;1;52.46;0.9367857142857141
mysMEEI;mysMEEI;sep_04_a01;0;0;32.25;0.895833333333333
mysMEEI;mysMEEI;sep_04_a01;0;1;3.75;0.10416666666666663
mysMEEI;mysMEEI;sep_04_a01;1;0;4.43;0.07910714285714286
mysMEEI;mysMEEI;sep_04_a01;1;1;51.57;0.9208928571428582
mysMEEI;mysMEEI;sep_04_a02;0;0;31.67;0.8797222222222219
mysMEEI;mysMEEI;sep_04_a02;0;1;4.33;0.12027777777777776
mysMEEI;mysMEEI;sep_04_a02;1;0;4.27;0.07625
mysMEEI;mysMEEI;sep_04_a02;1;1;51.73;0.9237500000000012
mysMEEI;mysMEEI;spectral_05;0;0;31.43;0.8730555555555551
mysMEEI;mysMEEI;spectral_05;0;1;4.57;0.1269444444444444
mysMEEI;mysMEEI;spectral_05;1;0;4.96;0.08857142857142858
mysMEEI;mysMEEI;spectral_05;1;1;51.04;0.9114285714285724
mysMEEI;mysMEEI;combined_05;0;0;32.18;0.8938888888888883
mysMEEI;mysMEEI;combined_05;0;1;3.82;0.10611111111111103
mysMEEI;mysMEEI;combined_05;1;0;4.68;0.08357142857142856
mysMEEI;mysMEEI;combined_05;1;1;51.32;0.9164285714285724
mysMEEI;mysMEEI;sep_05_raw;0;0;30.52;0.8477777777777783
mysMEEI;mysMEEI;sep_05_raw;0;1;5.48;0.1522222222222222
mysMEEI;mysMEEI;sep_05_raw;1;0;3.65;0.06517857142857139
mysMEEI;mysMEEI;sep_05_raw;1;1;52.35;0.9348214285714286
mysMEEI;mysMEEI;sep_05_a01;0;0;31.95;0.8874999999999996
mysMEEI;mysMEEI;sep_05_a01;0;1;4.05;0.11249999999999995
mysMEEI;mysMEEI;sep_05_a01;1;0;4.78;0.08535714285714285
mysMEEI;mysMEEI;sep_05_a01;1;1;51.22;0.9146428571428583
mysMEEI;mysMEEI;sep_05_a02;0;0;31.54;0.8761111111111108
mysMEEI;mysMEEI;sep_05_a02;0;1;4.46;0.12388888888888885
mysMEEI;mysMEEI;sep_05_a02;1;0;4.64;0.08285714285714285
mysMEEI;mysMEEI;sep_05_a02;1;1;51.36;0.9171428571428584
mysMEEI;mysMEEI;spectral_06;0;0;29.72;0.825555555555556
mysMEEI;mysMEEI;spectral_06;0;1;6.28;0.17444444444444443
mysMEEI;mysMEEI;spectral_06;1;0;4.8;0.08571428571428573
mysMEEI;mysMEEI;spectral_06;1;1;51.2;0.9142857142857155
mysMEEI;mysMEEI;combined_06;0;0;30.98;0.8605555555555562
mysMEEI;mysMEEI;combined_06;0;1;5.02;0.1394444444444445
mysMEEI;mysMEEI;combined_06;1;0;4.59;0.0819642857142857
mysMEEI;mysMEEI;combined_06;1;1;51.41;0.9180357142857152
mysMEEI;mysMEEI;sep_06_raw;0;0;30.16;0.837777777777778
mysMEEI;mysMEEI;sep_06_raw;0;1;5.84;0.16222222222222216
mysMEEI;mysMEEI;sep_06_raw;1;0;3.72;0.06642857142857145
mysMEEI;mysMEEI;sep_06_raw;1;1;52.28;0.933571428571429
mysMEEI;mysMEEI;sep_06_a01;0;0;31.11;0.864166666666667
mysMEEI;mysMEEI;sep_06_a01;0;1;4.89;0.1358333333333334
mysMEEI;mysMEEI;sep_06_a01;1;0;4.39;0.07839285714285714
mysMEEI;mysMEEI;sep_06_a01;1;1;51.61;0.921607142857144
mysMEEI;mysMEEI;sep_06_a02;0;0;30.82;0.8561111111111113
mysMEEI;mysMEEI;sep_06_a02;0;1;5.18;0.1438888888888889
mysMEEI;mysMEEI;sep_06_a02;1;0;4.28;0.07642857142857143
mysMEEI;mysMEEI;sep_06_a02;1;1;51.72;0.9235714285714296
mysMEEI;mysMEEI;spectral_07;0;0;29.04;0.806666666666667
mysMEEI;mysMEEI;spectral_07;0;1;6.96;0.19333333333333322
mysMEEI;mysMEEI;spectral_07;1;0;4.01;0.07160714285714286
mysMEEI;mysMEEI;spectral_07;1;1;51.99;0.9283928571428577
mysMEEI;mysMEEI;combined_07;0;0;30.33;0.8425000000000007
mysMEEI;mysMEEI;combined_07;0;1;5.67;0.1575
mysMEEI;mysMEEI;combined_07;1;0;3.98;0.07107142857142855
mysMEEI;mysMEEI;combined_07;1;1;52.02;0.9289285714285717
mysMEEI;mysMEEI;sep_07_raw;0;0;29.68;0.8244444444444448
mysMEEI;mysMEEI;sep_07_raw;0;1;6.32;0.17555555555555555
mysMEEI;mysMEEI;sep_07_raw;1;0;3.55;0.06339285714285713
mysMEEI;mysMEEI;sep_07_raw;1;1;52.45;0.9366071428571431
mysMEEI;mysMEEI;sep_07_a01;0;0;30.23;0.8397222222222228
mysMEEI;mysMEEI;sep_07_a01;0;1;5.77;0.1602777777777778
mysMEEI;mysMEEI;sep_07_a01;1;0;4.14;0.0739285714285714
mysMEEI;mysMEEI;sep_07_a01;1;1;51.86;0.9260714285714297
mysMEEI;mysMEEI;sep_07_a02;0;0;30.21;0.8391666666666673
mysMEEI;mysMEEI;sep_07_a02;0;1;5.79;0.16083333333333338
mysMEEI;mysMEEI;sep_07_a02;1;0;3.97;0.07089285714285712
mysMEEI;mysMEEI;sep_07_a02;1;1;52.03;0.9291071428571438
mysMEEI;mysMEEI;spectral_08;0;0;28.65;0.7958333333333337
mysMEEI;mysMEEI;spectral_08;0;1;7.35;0.20416666666666639
mysMEEI;mysMEEI;spectral_08;1;0;3.71;0.06625
mysMEEI;mysMEEI;spectral_08;1;1;52.29;0.9337500000000002
mysMEEI;mysMEEI;combined_08;0;0;30.07;0.8352777777777786
mysMEEI;mysMEEI;combined_08;0;1;5.93;0.16472222222222221
mysMEEI;mysMEEI;combined_08;1;0;3.97;0.07089285714285713
mysMEEI;mysMEEI;combined_08;1;1;52.03;0.9291071428571432
mysMEEI;mysMEEI;sep_08_raw;0;0;29.31;0.8141666666666671
mysMEEI;mysMEEI;sep_08_raw;0;1;6.69;0.18583333333333324
mysMEEI;mysMEEI;sep_08_raw;1;0;3.48;0.062142857142857146
mysMEEI;mysMEEI;sep_08_raw;1;1;52.52;0.937857142857143
mysMEEI;mysMEEI;sep_08_a01;0;0;29.89;0.8302777777777781
mysMEEI;mysMEEI;sep_08_a01;0;1;6.11;0.16972222222222222
mysMEEI;mysMEEI;sep_08_a01;1;0;4.05;0.07232142857142854
mysMEEI;mysMEEI;sep_08_a01;1;1;51.95;0.9276785714285722
mysMEEI;mysMEEI;sep_08_a02;0;0;29.92;0.8311111111111116
mysMEEI;mysMEEI;sep_08_a02;0;1;6.08;0.1688888888888889
mysMEEI;mysMEEI;sep_08_a02;1;0;3.92;0.06999999999999995
mysMEEI;mysMEEI;sep_08_a02;1;1;52.08;0.9300000000000008
mysMEEI;mysMEEI;spectral_09;0;0;28.02;0.7783333333333335
mysMEEI;mysMEEI;spectral_09;0;1;7.98;0.22166666666666646
mysMEEI;mysMEEI;spectral_09;1;0;3.46;0.061785714285714305
mysMEEI;mysMEEI;spectral_09;1;1;52.54;0.9382142857142856
mysMEEI;mysMEEI;combined_09;0;0;29.7;0.8250000000000007
mysMEEI;mysMEEI;combined_09;0;1;6.3;0.175
mysMEEI;mysMEEI;combined_09;1;0;4.03;0.07196428571428573
mysMEEI;mysMEEI;combined_09;1;1;51.97;0.9280357142857149
mysMEEI;mysMEEI;sep_09_raw;0;0;28.92;0.8033333333333335
mysMEEI;mysMEEI;sep_09_raw;0;1;7.08;0.19666666666666666
mysMEEI;mysMEEI;sep_09_raw;1;0;3.48;0.062142857142857146
mysMEEI;mysMEEI;sep_09_raw;1;1;52.52;0.9378571428571427
mysMEEI;mysMEEI;sep_09_a01;0;0;29.63;0.8230555555555561
mysMEEI;mysMEEI;sep_09_a01;0;1;6.37;0.17694444444444435
mysMEEI;mysMEEI;sep_09_a01;1;0;3.94;0.07035714285714283
mysMEEI;mysMEEI;sep_09_a01;1;1;52.06;0.9296428571428581
mysMEEI;mysMEEI;sep_09_a02;0;0;29.87;0.8297222222222227
mysMEEI;mysMEEI;sep_09_a02;0;1;6.13;0.17027777777777775
mysMEEI;mysMEEI;sep_09_a02;1;0;3.92;0.06999999999999998
mysMEEI;mysMEEI;sep_09_a02;1;1;52.08;0.9300000000000008
mysMEEI;mysMEEI;spectral_10;0;0;27.68;0.7688888888888892
mysMEEI;mysMEEI;spectral_10;0;1;8.32;0.2311111111111109
mysMEEI;mysMEEI;spectral_10;1;0;3.48;0.062142857142857146
mysMEEI;mysMEEI;spectral_10;1;1;52.52;0.9378571428571425
mysMEEI;mysMEEI;combined_10;0;0;29.2;0.8111111111111114
mysMEEI;mysMEEI;combined_10;0;1;6.8;0.18888888888888883
mysMEEI;mysMEEI;combined_10;1;0;4.14;0.07392857142857141
mysMEEI;mysMEEI;combined_10;1;1;51.86;0.9260714285714294
mysMEEI;mysMEEI;sep_10_raw;0;0;29.1;0.808333333333334
mysMEEI;mysMEEI;sep_10_raw;0;1;6.9;0.1916666666666666
mysMEEI;mysMEEI;sep_10_raw;1;0;3.5;0.0625
mysMEEI;mysMEEI;sep_10_raw;1;1;52.5;0.9375
mysMEEI;mysMEEI;sep_10_a01;0;0;29.71;0.8252777777777786
mysMEEI;mysMEEI;sep_10_a01;0;1;6.29;0.17472222222222225
mysMEEI;mysMEEI;sep_10_a01;1;0;3.91;0.06982142857142853
mysMEEI;mysMEEI;sep_10_a01;1;1;52.09;0.9301785714285722
mysMEEI;mysMEEI;sep_10_a02;0;0;29.41;0.8169444444444448
mysMEEI;mysMEEI;sep_10_a02;0;1;6.59;0.18305555555555547
mysMEEI;mysMEEI;sep_10_a02;1;0;3.89;0.06946428571428567
mysMEEI;mysMEEI;sep_10_a02;1;1;52.11;0.930535714285715
mysMEEI;mysMEEI;spectral_11;0;0;27.67;0.768611111111111
mysMEEI;mysMEEI;spectral_11;0;1;8.33;0.23138888888888876
mysMEEI;mysMEEI;spectral_11;1;0;3.35;0.05982142857142859
mysMEEI;mysMEEI;spectral_11;1;1;52.65;0.940178571428571
mysMEEI;mysMEEI;combined_11;0;0;28.7;0.7972222222222226
mysMEEI;mysMEEI;combined_11;0;1;7.3;0.20277777777777767
mysMEEI;mysMEEI;combined_11;1;0;4.16;0.07428571428571427
mysMEEI;mysMEEI;combined_11;1;1;51.84;0.9257142857142866
mysMEEI;mysMEEI;sep_11_raw;0;0;29.49;0.8191666666666673
mysMEEI;mysMEEI;sep_11_raw;0;1;6.51;0.1808333333333332
mysMEEI;mysMEEI;sep_11_raw;1;0;3.46;0.06178571428571428
mysMEEI;mysMEEI;sep_11_raw;1;1;52.54;0.9382142857142857
mysMEEI;mysMEEI;sep_11_a01;0;0;30.16;0.8377777777777783
mysMEEI;mysMEEI;sep_11_a01;0;1;5.84;0.1622222222222222
mysMEEI;mysMEEI;sep_11_a01;1;0;3.86;0.0689285714285714
mysMEEI;mysMEEI;sep_11_a01;1;1;52.14;0.9310714285714293
mysMEEI;mysMEEI;sep_11_a02;0;0;29.49;0.8191666666666666
mysMEEI;mysMEEI;sep_11_a02;0;1;6.51;0.1808333333333333
mysMEEI;mysMEEI;sep_11_a02;1;0;3.79;0.06767857142857138
mysMEEI;mysMEEI;sep_11_a02;1;1;52.21;0.9323214285714292
mysMEEI;mysMEEI;spectral_12;0;0;27.58;0.7661111111111107
mysMEEI;mysMEEI;spectral_12;0;1;8.42;0.23388888888888865
mysMEEI;mysMEEI;spectral_12;1;0;3.19;0.05696428571428571
mysMEEI;mysMEEI;spectral_12;1;1;52.81;0.9430357142857134
mysMEEI;mysMEEI;combined_12;0;0;28.68;0.796666666666667
mysMEEI;mysMEEI;combined_12;0;1;7.32;0.20333333333333306
mysMEEI;mysMEEI;combined_12;1;0;3.92;0.06999999999999999
mysMEEI;mysMEEI;combined_12;1;1;52.08;0.9300000000000007
mysMEEI;mysMEEI;sep_12_raw;0;0;30.19;0.8386111111111115
mysMEEI;mysMEEI;sep_12_raw;0;1;5.81;0.1613888888888889
mysMEEI;mysMEEI;sep_12_raw;1;0;2.92;0.05214285714285713
mysMEEI;mysMEEI;sep_12_raw;1;1;53.08;0.9478571428571422
mysMEEI;mysMEEI;sep_12_a01;0;0;30.55;0.8486111111111114
mysMEEI;mysMEEI;sep_12_a01;0;1;5.45;0.1513888888888889
mysMEEI;mysMEEI;sep_12_a01;1;0;3.31;0.05910714285714284
mysMEEI;mysMEEI;sep_12_a01;1;1;52.69;0.9408928571428566
mysMEEI;mysMEEI;sep_12_a02;0;0;29.77;0.826944444444445
mysMEEI;mysMEEI;sep_12_a02;0;1;6.23;0.17305555555555563
mysMEEI;mysMEEI;sep_12_a02;1;0;3.2;0.057142857142857106
mysMEEI;mysMEEI;sep_12_a02;1;1;52.8;0.9428571428571424
mysMEEI;mysMEEI;spectral_13;0;0;27.43;0.7619444444444443
mysMEEI;mysMEEI;spectral_13;0;1;8.57;0.23805555555555535
mysMEEI;mysMEEI;spectral_13;1;0;3.02;0.05392857142857142
mysMEEI;mysMEEI;spectral_13;1;1;52.98;0.9460714285714278
mysMEEI;mysMEEI;combined_13;0;0;28.84;0.8011111111111114
mysMEEI;mysMEEI;combined_13;0;1;7.16;0.19888888888888878
mysMEEI;mysMEEI;combined_13;1;0;3.3;0.05892857142857144
mysMEEI;mysMEEI;combined_13;1;1;52.7;0.9410714285714282
mysMEEI;mysMEEI;sep_13_raw;0;0;30.26;0.8405555555555559
mysMEEI;mysMEEI;sep_13_raw;0;1;5.74;0.15944444444444444
mysMEEI;mysMEEI;sep_13_raw;1;0;2.84;0.05071428571428567
mysMEEI;mysMEEI;sep_13_raw;1;1;53.16;0.9492857142857133
mysMEEI;mysMEEI;sep_13_a01;0;0;30.47;0.846388888888889
mysMEEI;mysMEEI;sep_13_a01;0;1;5.53;0.15361111111111106
mysMEEI;mysMEEI;sep_13_a01;1;0;3.33;0.059464285714285706
mysMEEI;mysMEEI;sep_13_a01;1;1;52.67;0.9405357142857137
mysMEEI;mysMEEI;sep_13_a02;0;0;29.5;0.8194444444444449
mysMEEI;mysMEEI;sep_13_a02;0;1;6.5;0.18055555555555552
mysMEEI;mysMEEI;sep_13_a02;1;0;3.11;0.05553571428571428
mysMEEI;mysMEEI;sep_13_a02;1;1;52.89;0.9444642857142849
mysMEEI;mysMEEI;spectral_14;0;0;27.16;0.7544444444444443
mysMEEI;mysMEEI;spectral_14;0;1;8.84;0.24555555555555542
mysMEEI;mysMEEI;spectral_14;1;0;2.86;0.05107142857142856
mysMEEI;mysMEEI;spectral_14;1;1;53.14;0.9489285714285706
mysMEEI;mysMEEI;combined_14;0;0;28.53;0.7925000000000008
mysMEEI;mysMEEI;combined_14;0;1;7.47;0.20749999999999974
mysMEEI;mysMEEI;combined_14;1;0;3.33;0.05946428571428572
mysMEEI;mysMEEI;combined_14;1;1;52.67;0.940535714285714
mysMEEI;mysMEEI;sep_14_raw;0;0;30.09;0.8358333333333335
mysMEEI;mysMEEI;sep_14_raw;0;1;5.91;0.16416666666666668
mysMEEI;mysMEEI;sep_14_raw;1;0;2.85;0.0508928571428571
mysMEEI;mysMEEI;sep_14_raw;1;1;53.15;0.9491071428571419
mysMEEI;mysMEEI;sep_14_a01;0;0;30.14;0.8372222222222228
mysMEEI;mysMEEI;sep_14_a01;0;1;5.86;0.16277777777777774
